Format,Title,Artist,Release Year,Genre(s),Country,RIYL,Location (Shelf),Album Cover URL,Fill In?
Record,Fog on the Tyne,Lindisfarne,1971,Folk Rock,UK,"Fairport Convention, Steeleye Span, Pentangle, The Incredible String Band, Jethro Tull",A3,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/35/30/3d/35303d15-1754-1bf3-26ef-e6a1fa59cb3c/00724357990356.jpg/600x600bb.jpg,Been Filled
Record,Weirdo Libido,Lime Spiders,1987,Garage Rock,Australia,"The Scientists, The Hoodoo Gurus, The Stems, The Church, Radio Birdman",A3,https://lastfm.freetls.fastly.net/i/u/300x300/687c21be475641f8c15d7bd5fd516fae.png,Been Filled
Record,Slave Girl,Lime Spiders,1984,Garage Rock,Australia,"The Scientists, The Hoodoo Gurus, The Stems, The Church, Radio Birdman",A3,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/fa/95/ea/fa95eaed-f17f-f51b-1e72-0cc2733b673f/cover.jpg/600x600bb.jpg,Been Filled
Record,Very Best Of,Dave Mason,1978,Classic Rock,US,"Traffic, Blind Faith, The Rolling Stones, The Who, The Kinks",A3,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/7d/5b/04/7d5b0401-b944-b628-8eb2-d0cb49fb6ca5/603497925599.jpg/600x600bb.jpg,Been Filled
Record,Is Alive,Dave Mason,1973,Folk Rock,US,"Traffic, Blind Faith, The Rolling Stones, The Who, The Kinks",A3,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/17/79/e7/1779e7c5-95ac-dceb-2e77-bfb3ac895967/22UMGIM43336.rgb.jpg/600x600bb.jpg,Been Filled
Record,Second Sight,Lonnie Mack,1986,"Chicago Blues, Modern Electric Blues",US,"Stevie Ray Vaughan, Johnny Winter, ZZ Top, The Fabulous Thunderbirds, Jimmie Vaughan",A3,https://is1-ssl.mzstatic.com/image/thumb/Music/y2004/m04/d19/h20/s05.rxwljoea.jpg/600x600bb.jpg,Been Filled
Record,Baroque Masterpieces for Trumpet and Organ,Edward Tarr,1973,Baroque,US,"Wynton Marsalis, Maurice André, Hakan Hardenberger, Alison Balsom, Tine Thing Helseth",A3,https://i.discogs.com/xSspesbBOY_LXHDMOv9S40kKiIGjKYwK7dSJw_Yr7Ns/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3Njgx/MzYtMTMwMDE1NjQz/MC5qcGVn.jpeg,Been Filled
Record,Sanctuary,J Geils Band,1978,"Rock & Roll, Blues Rock",US,"The Rolling Stones, The Faces, The Black Crowes, The Allman Brothers Band, Little Feat",A3,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/7c/e0/0e/7ce00ea3-8981-3900-4b38-592360c8c3a3/00602537700974.rgb.jpg/600x600bb.jpg,Been Filled
Record,Ride a Rock Horse,Roger Daltrey,1975,Pop Rock,US,"The Who, The Faces, The Rolling Stones, The Kinks, Bad Company",A3,https://is1-ssl.mzstatic.com/image/thumb/Music/9d/b4/7b/mzi.twpyktxp.jpg/600x600bb.jpg,Been Filled
Record,Lovelyville,Thinking Fellers Union Local 282,1991,"Indie Rock, Noise Rock, Lo-Fi",US,"Pavement, Sebadoh, Guided by Voices, The Flaming Lips, The Olivia Tremor Control",A3,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/62/f8/7f/62f87fbe-7448-140d-ae84-562076e0a48c/194171198182.jpg/600x600bb.jpg,Been Filled
Record,Ladies Invited,J Geils Band,1973,"Blues Rock, Pop Rock",US,"The Rolling Stones, The Faces, The Black Crowes, The Allman Brothers Band, Little Feat",A3,https://is1-ssl.mzstatic.com/image/thumb/Music/32/44/f5/mzi.aslgncbk.jpg/600x600bb.jpg,Been Filled
Record,Live,Mott the Hoople,1974,Glam,US,"David Bowie, T. Rex, Roxy Music, Slade, Sweet",A3,https://is1-ssl.mzstatic.com/image/thumb/Music/12/46/6f/mzi.nupwuygs.jpg/600x600bb.jpg,Been Filled
Record,Approved By,Motors,1978,"New Wave, Pub Rock, Power Pop",UK,"The Jam, The Undertones, The Chords, The Lambrettas, Secret Affair",A3,https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/d7/98/e5/d798e553-ae9a-c41a-7623-77ea0f471054/05099926670355.jpg/600x600bb.jpg,Been Filled
Record,All Four One',Motels,1982,"New Wave, Pop Rock",US,"The Cars, Blondie, The Pretenders, The Go-Go's, The Bangles",A3,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/41/db/15/41db15a9-7b83-fb4a-784a-f9e96d12c230/00724352069651.jpg/600x600bb.jpg,Been Filled
Record,Wavelength,Van Morrison,1978,"Pop Rock, Soul",US,"Bruce Springsteen, Bob Dylan, Tom Waits, Leonard Cohen, Nick Cave",A3,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a2/68/9f/a2689f46-8930-0fca-da2d-b469d45cb841/886445370898_Cover.jpg/600x600bb.jpg,Been Filled
Record,It's Too Late to Stop Now,Van Morrison,2016,"Blues Rock, Fusion, Classic Rock",Europe,"Bruce Springsteen, Bob Dylan, Tom Waits, Leonard Cohen, Nick Cave",A3,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/48/44/fd/4844fdfb-7cab-3c81-9a6c-f936bf83560e/886445378696_Cover.jpg/600x600bb.jpg,Been Filled
Record,Blackbird,Mose Jones,1978,Southern Rock,US,"The Allman Brothers Band, Lynyrd Skynyrd, The Marshall Tucker Band, The Outlaws, The Charlie Daniels Band",A3,https://lastfm.freetls.fastly.net/i/u/300x300/c3f83b0dfe9a255c5e7c943037e63a5f.jpg,Been Filled
Record,801 Live,Phil Manzanera,1977,"Rock & Roll, Prog Rock, Ambient",US,"Roxy Music, Brian Eno, David Bowie, Pink Floyd, King Crimson",A3,https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/88/ab/8c/88ab8c7b-6973-39f5-e565-9a839828039f/00077778702955.jpg/600x600bb.jpg,Been Filled
Record,Little Feat,Little Feat,1971,"Blues Rock, Country Rock",US,"The Allman Brothers Band, The Band, The Grateful Dead, The Doobie Brothers, The Marshall Tucker Band",A3,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/c3/c3/f9/c3c3f92a-5176-38ad-7736-870561382e8e/mzi.ieqzdzyg.jpg/600x600bb.jpg,Been Filled
Record,Dixie Chicken,Little Feat,1973,"Southern Rock, Bayou Funk, Louisiana Blues",US,"The Allman Brothers Band, The Band, The Grateful Dead, The Doobie Brothers, The Marshall Tucker Band",A3,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ee/e2/f6/eee2f674-8d4a-0794-107b-ddfeb09d1e4d/603497837489.jpg/600x600bb.jpg,Been Filled
Record,Feats Don't Fail Me Now,Little Feat,1974,"Blues Rock, Southern Rock",US,"The Allman Brothers Band, The Band, The Grateful Dead, The Doobie Brothers, The Marshall Tucker Band",A3,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a4/26/ed/a426ed50-2d66-a2db-2ef5-4849cfdc3c17/603497823390.jpg/600x600bb.jpg,Been Filled
Record,Hoy Hoy,Little Feat,1981,"Pop Rock, Blues Rock, Rock & Roll, Southern Rock, AOR",US,"The Allman Brothers Band, The Band, The Grateful Dead, The Doobie Brothers, The Marshall Tucker Band",A3,https://is1-ssl.mzstatic.com/image/thumb/Music/37/df/dd/mzi.vukxzgpo.jpg/600x600bb.jpg,Been Filled
Record,Sailin' Shoes,Little Feat,1972,"Blues Rock, Southern Rock, Classic Rock",US,"The Allman Brothers Band, The Band, The Grateful Dead, The Doobie Brothers, The Marshall Tucker Band",A3,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/f4/6c/62/f46c6213-e69f-0673-145e-ba025dd007b0/075992725828.jpg/600x600bb.jpg,Been Filled
Record,Time Loves a Hero,Little Feat,1977,"Blues Rock, Southern Rock, Rhythm & Blues, Bayou Funk",US,"The Allman Brothers Band, The Band, The Grateful Dead, The Doobie Brothers, The Marshall Tucker Band",A3,https://is1-ssl.mzstatic.com/image/thumb/Music/3c/b0/e0/mzi.yzbjeien.jpg/600x600bb.jpg,Been Filled
Record,Waiting for Columbus,Little Feat,1978,"Classic Rock, Blues Rock",US,"The Allman Brothers Band, The Band, The Grateful Dead, The Doobie Brothers, The Marshall Tucker Band",A3,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/c3/c3/f9/c3c3f92a-5176-38ad-7736-870561382e8e/mzi.ieqzdzyg.jpg/600x600bb.jpg,Been Filled
Record,Little River Band,Little River Band,1975,"Pop Rock, Classic Rock",US,"The Eagles, Fleetwood Mac, The Doobie Brothers, America, The Beach Boys",A3,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/ca/71/37/ca7137e7-4640-175f-ccd6-ec31ff216821/22UM1IM08581.rgb.jpg/600x600bb.jpg,Been Filled
Record,First Under the Wire,Little River Band,1979,Soft Rock,US,"The Eagles, Fleetwood Mac, The Doobie Brothers, America, The Beach Boys",A3,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/47/b1/2a/47b12ab3-d2f5-d601-d2b5-59d80ca94a4b/13UABIM11807.rgb.jpg/600x600bb.jpg,Been Filled
Record,Time Exposure,Little River Band,1981,Pop Rock,US,"The Eagles, Fleetwood Mac, The Doobie Brothers, America, The Beach Boys",A3,https://lastfm.freetls.fastly.net/i/u/300x300/b92d73307ed14e6ddc4a5336df35db9c.jpg,Been Filled
Record,Tracks,McKendree Spring,1972,"Folk Rock, Psychedelic Rock, Country Rock",US,"The Band, The Byrds, The Flying Burrito Brothers, The Buffalo Springfield, The Lovin' Spoonful",A3,https://lastfm.freetls.fastly.net/i/u/300x300/45f0b77a2de0407aa5af070b06b05ea5.jpg,Been Filled
Record,Cabretta,Mink Deville,1977,"Pop Rock, Punk, New Wave, Rock & Roll",US,"The Ramones, The Heartbreakers, The Dictators, The Dead Boys, Richard Hell & The Voidoids",A3,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/58/3b/87/583b870d-6ac5-43dd-6272-af07217466aa/05099963398359.jpg/600x600bb.jpg,Been Filled
Record,The World Anthem,Mahogany Rush,2008,Rock,UK,"Jimi Hendrix, Robin Trower, Frank Marino, Stevie Ray Vaughan, Johnny Winter",A3,https://is1-ssl.mzstatic.com/image/thumb/Music/c5/41/f1/mzi.stwuvhwv.jpg/600x600bb.jpg,Been Filled
Record,Careful,Motels,1980,New Wave,US,"The Cars, Blondie, The Pretenders, The Go-Go's, The Bangles",A3,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/11/d8/b2/11d8b2b9-7d8c-c5f5-60cc-e7fdb9f76d42/13UACIM16938.rgb.jpg/600x600bb.jpg,Been Filled
Record,Strange Boutique,The Monochrome Set,1980,"New Wave, Pop Rock, Indie Rock",UK,"The Smiths, The Wedding Present, The Housemartins, The Pastels, The June Brides",A3,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/65/ea/ae/65eaae9c-99e8-0e29-b0e9-d6f3d6c8dfcc/4015698013818.jpg/600x600bb.jpg,Been Filled
Record,Double Trouble,Frankie Miller,1978,"Hard Rock, Rhythm & Blues",US,"Rod Stewart, Faces, Humble Pie, Bad Company, Free",A3,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/76/12/da/7612da95-bd9b-0b8b-7a5e-3a37bbbb180d/5054526780699.png/600x600bb.jpg,Been Filled
Record,It's Like You Never Left,Dave Mason,1973,"Blues Rock, Prog Rock",US,"Traffic, Blind Faith, The Rolling Stones, The Who, The Kinks",A3,https://is1-ssl.mzstatic.com/image/thumb/Features/01/c3/11/dj.rwzdusnq.jpg/600x600bb.jpg,Been Filled
Record,Mariposa de Oro,Dave Mason,1978,Rock & Roll,US,"Traffic, Blind Faith, The Rolling Stones, The Who, The Kinks",A3,https://is1-ssl.mzstatic.com/image/thumb/Music/66/ba/cc/mzi.xwwlhzhu.jpg/600x600bb.jpg,Been Filled
Record,Back Into the Future,Man,1973,Prog Rock,UK,"Pink Floyd, Yes, Genesis, King Crimson, Emerson Lake & Palmer",A3,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ef/7e/7e/ef7e7ed5-0f20-cfbd-0f16-055f244024eb/5099969666759_3600x3600_300dpi.jpg/600x600bb.jpg,Been Filled
Record,Long Distance Voyager,Moody Blues,1981,"Art Rock, Pop Rock, Symphonic Rock, Prog Rock",US,"Pink Floyd, Yes, Genesis, King Crimson, Emerson Lake & Palmer",A3,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/a0/b3/22/a0b3228c-1806-013b-7fa7-c4afa31c54fb/00602567756699.rgb.jpg/600x600bb.jpg,Been Filled
Record,Every Good Boy Deserves Favour,Moody Blues,1971,Psychedelic Rock,UK,"Pink Floyd, Yes, Genesis, King Crimson, Emerson Lake & Palmer",A3,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/0c/09/94/0c0994e6-e990-d798-fe5a-02242ab29f2b/00600753066270.rgb.jpg/600x600bb.jpg,Been Filled
Record,Paper Money,Montrose,1974,Hard Rock,US,"Van Halen, Aerosmith, Led Zeppelin, Deep Purple, Bad Company",A3,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/7c/1c/4f/7c1c4fdd-3183-d507-f9ca-85faaf0bb8fb/603497871797.jpg/600x600bb.jpg,Been Filled
Record,Eligible Bachelors,Monochrome Set,1982,"Pop Rock, Indie Rock",UK,"The Smiths, The Wedding Present, The Housemartins, The Pastels, The June Brides",A3,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/d5/e5/3f/d5e53f3f-dd43-cc4e-be9d-e3fac5a525d6/190295009618.jpg/600x600bb.jpg,Been Filled
Record,Life for the Taking,Eddie Money,1978,Rock,US,"Bruce Springsteen, Bob Seger, Tom Petty, John Mellencamp, Steve Miller Band",A3,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ca/50/2f/ca502f65-f901-fcc2-c2fb-295aea5213b4/074643559829.jpg/600x600bb.jpg,Been Filled
Record,Sleeper Catcher,Little River Band,1978,"Classic Rock, Pop Rock",US,"The Eagles, Fleetwood Mac, The Doobie Brothers, America, The Beach Boys",A3,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/c9/af/4c/c9af4c89-17d5-d587-393d-1d6a071ecead/22UM1IM08564.rgb.jpg/600x600bb.jpg,Been Filled
Record,Men Without Women,Little Steven,1982,Pop Rock,Europe,"Bruce Springsteen, Southside Johnny, Graham Parker, Joe Jackson, Elvis Costello",A3,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/61/01/9e/61019e38-1219-17bc-bd21-9dc8c460506a/19UMGIM79704.rgb.jpg/600x600bb.jpg,Been Filled
Record,Rockets,Rockets,1977,"Electro, Disco",Italy,"Kraftwerk, Giorgio Moroder, Jean-Michel Jarre, Tangerine Dream, Vangelis",A3,https://is1-ssl.mzstatic.com/image/thumb/Music111/v4/91/a4/75/91a47575-6b64-62aa-d17f-96dad6112d7c/859719610198_cover.jpg/600x600bb.jpg,Been Filled
Record,Rock Invasion,Rock Invasion,1986,"Hard Rock, Glam",US,"Mötley Crüe, Ratt, W.A.S.P., Twisted Sister, Quiet Riot",A3,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/2b/1d/82/2b1d8219-c65a-043a-4d79-026d2e5fbedd/859733269433_cover.jpg/600x600bb.jpg,Been Filled
Record,No Ballads,Rockets,2009,Rock,US,"Kraftwerk, Giorgio Moroder, Jean-Michel Jarre, Tangerine Dream, Vangelis",A3,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a1/4d/6b/a14d6bc2-804f-82a8-2298-38fda4d987c9/59e84e53-5d6e-422e-bc97-4bfa89b72642.jpg/600x600bb.jpg,Been Filled
Record,Robbie Robertson,Robbie Robertson,1987,Pop Rock,UK & Europe,"The Band, Bob Dylan, Neil Young, Van Morrison, Leonard Cohen",A3,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/85/01/58/85015836-f1e3-288d-2b6f-5ab2151bc3af/00720642416020.rgb.jpg/600x600bb.jpg,Been Filled
Record,North by Northwest,Tom Robinson,1982,New Wave,UK,"The Clash, The Jam, The Undertones, The Ruts, The Stranglers",A3,https://lastfm.freetls.fastly.net/i/u/300x300/69b2e893f62eff7ecccb19dfc51dcd24.jpg,Been Filled
Record,Hope and Glory,Tom Robinson,1984,Pop Rock,UK,"The Clash, The Jam, The Undertones, The Ruts, The Stranglers",A3,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/7b/ee/d5/7beed51f-89a0-2808-20a7-69efb76745ac/cover.jpg/600x600bb.jpg,Been Filled
Record,Drastic Measures,Kansas,1983,Classic Rock,USA,"Foreigner, Rush, Journey",E1,https://www.discogs.com/master/217535-Kansas-Drastic-Measures/image/SW1hZ2U6MzAwNTcwNA==,Been Filled
Record,Sugar Rush,Downers,2019,Alt Rock,USA,"Sun Kil Moon, Red House Painters",I3,https://downersca.bandcamp.com/album/sugar-rush,Been Filled
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Record,Three Times and Waving,Breathless,1987,"Rock, New Wave, Shoegaze",UK,"The Reegs, The Opposition, Telstar Ponies, Spoonfed Hybrid",J3,https://www.discogs.com/master/66486-Breathless-Three-Times-And-Waving?srsltid=AfmBOooiKSb5dAeB7G69Q0IUFYGSuusLpHl6vELXIuwnfld57SMrW23t&image=1578591.SW1hZ2U6MTA2OTE3Mzg%3D,
Record,The Glass Bead Game,Beathless,1986,"Rock, New Wave, Shoegaze",UK,"The Reegs, The Opposition, Telstar Ponies, Spoonfed Hybrid",J3,https://www.discogs.com/master/66482-Breathless-The-Glass-Bead-Game/image/SW1hZ2U6NDQ0NTc1NTc=,
Record,Nailing Colors to the Wheel,Breathless,1986,"Rock, New Wave, Shoegaze",UK,"The Reegs, The Opposition, Telstar Ponies, Spoonfed Hybrid",J3,https://www.discogs.com/release/405854-Breathless-Nailing-Colours-To-The-Wheel/image/SW1hZ2U6OTg0OTMxNDQ=,
Record,Brainfood,Various,1989,Punk Rock,USA,"Minor Threat, Suicidal Tendencies, Bad Brains",J3,https://www.discogs.com/release/2682634-Various-Brain-Food/image/SW1hZ2U6MjU2NTU4MzU=,
Record,Help Save the Youth of America EP: Live and Dubious,Billy Bragg,1988,"Rock, Folk Rock",USA,"Neil Young, Bruce Springsteen, The Bobby Fuller Four, CCR",J3,https://www.discogs.com/release/2070385-Billy-Bragg-Help-Save-The-Youth-Of-America-EP-Live-And-Dubious/image/SW1hZ2U6MzQzNTAyMA==,
Record,The Virgin Land,Fear of Darkness,1986,"Death Rock, New Wave, Goth Rock",UK,"The March Violets, Bauhaus, Christian Death, ",J3,https://www.discogs.com/master/1331074-Fear-Of-Darkness-The-Virgin-Land/image/SW1hZ2U6MTA1ODE0ODE=,
Record,Die for Allah,Fearless Iranians from Hell,1987,Punk Rock,USA,"Suicidal Tendencies, Municipal Waste, D.R.I, Crucifix",J3,https://www.discogs.com/master/318277-Fearless-Iranians-From-Hell-Die-For-Allah/image/SW1hZ2U6OTk2Mzk5Mw==,
Record,"Very, Very Powerful Motor",Fastbacks,1990,"Rock, Alternative",USA,"X-Ray Spex, The Damned, X",J3,https://www.discogs.com/master/333905-Fastbacks-Very-Very-Powerful-Motor/image/SW1hZ2U6ODM0NjA3Mg==,
Record,Don't Change That Song,Faster Pussycat,1987,"Classic Rock, Hairmetal",USA,"Cinderella, W.A.S.P, Quiet Riot",J3,https://www.discogs.com/release/3393713-Faster-Pussycat-Dont-Change-That-Song/image/SW1hZ2U6MzI0NTg5OTM=,
Record,Flames of Love,The Farmers,1989,Rock,USA,"CCR, Stiff Little Fingers, The Cars",J3,https://www.discogs.com/release/6437437-The-Farmers-Flames-Of-Love/image/SW1hZ2U6Mjc4NDIxNzE=,
Record,I Built the World,The Farmers' Boys,1985,"Rock, New Wave, Synth Pop",UK,"The Human League, New Order, The Room, Afraid of Mice",J3,https://www.discogs.com/release/2371083-The-Farmers-Boys-I-Built-The-World/image/SW1hZ2U6MzkyNzkzNA==,
Record,The Family,Mashmakhan,1971,"Psychadelic Rock, Progressive Rock",Canada,"The Byrds, The Paupers, Human Instinct",J3,https://www.discogs.com/master/524922-Mashmakhan-Mashmakhan-The-Family/image/SW1hZ2U6NTEyNDU5OA==,
Record,Fanny,Mothers Pride,1973,Classic Rock,UK,"Wings, Bad Company, Deep Purple",J3,https://www.discogs.com/release/1472466-Fanny-Mothers-Pride/image/SW1hZ2U6NTE5ODEwNw==,
Record,Billy Falcon,Billy Falcon,1979,"Pop Rock, Classic Rock",USA,"Bon Jovi, Bruce Springsteen, Chicago",J3,https://www.discogs.com/master/816851-Billy-Falcon-Billy-Falcon/image/SW1hZ2U6NjAxNjQ4Mg==,
Record,Burning Rose,Billy Falcon,1977,"Pop Rock, Classic Rock",USA,"Bon Jovi, Bruce Springsteen, Chicago",J3,https://www.discogs.com/release/3081416-Billy-Falcon-Billy-Falcons-Burning-Rose/image/SW1hZ2U6MTAzMDQxODY=,
Record,Falcon Around,Billy Falcon,1980,"Pop Rock, Classic Rock",USA,"Bon Jovi, Bruce Springsteen, Chicago",J3,https://www.discogs.com/master/348270-Billy-Falcon-Falcon-Around/image/SW1hZ2U6NTc2MzA4MA==,
Record,Strange Weather,Marianne Faithfull,1987,"Rock, Blues, Folk",USA,"Patti Smith, Joan Armatrading, Donovan ",J3,https://www.discogs.com/release/692310-Marianne-Faithfull-Strange-Weather/image/SW1hZ2U6MjIzNDcyNzk=,
Record,III,Kalapana,1977,"Jazz, Funk, Soul",USA,"Cecilio & Kapono, Gabby Pahinui, Santana",J3,https://www.discogs.com/master/339120-Kalapana-Kalapana-III/image/SW1hZ2U6MTM5MDAwNjE=,
Record,Photographs as Memories,Eyeless in Gaza,1981,"Post Punk, New Wave",UK,"The Fall, Fad Gadget, The Wolfgang Press",J3,https://www.discogs.com/master/95366-Eyeless-In-Gaza-Photographs-As-Memories/image/SW1hZ2U6MjYwNjEyNzE=,
Record,Welcome Now,Eyeless in Gaza,1985,"Post Punk, New Wave",UK,"The Fall, Fad Gadget, The Wolfgang Press",J3,https://www.discogs.com/master/95379-Eyeless-In-Gaza-Welcome-Now/image/SW1hZ2U6MTI1MTk3Nzg=,
Record,The Best of The Electric Flag,The Electric Flag,1971,"Rock, Blues",USA,"Canned Heat, The Yardbirds, Cream",J3,https://www.discogs.com/master/419815-The-Electric-Flag-The-Best-Of-The-Electric-Flag/image/SW1hZ2U6MjAzODQ1NDQ=,
Record,Eldorado,Electric Light Orchestra,1974,"Rock, Progressive Rock",UK,"Supertramp, Styx, Yes",J3,https://www.discogs.com/master/21685-Electric-Light-Orchestra-Eldorado-A-Symphony-By-The-Electric-Light-Orchestra/image/SW1hZ2U6ODE0MjM3MDE=,
Record,II,Electric Light Orchestra,1973,"Rock, Progressive Rock",UK,"Supertramp, Styx, Yes",J3,https://www.discogs.com/release/3324602-Electric-Light-Orchestra-Electric-Light-Orchestra-II/image/SW1hZ2U6MTEzNzYwMzA=,
Record,Secret Messages,Electric Light Orchestra,1983,"Rock, Progressive Rock",UK,"Supertramp, Styx, Yes",J3,https://www.discogs.com/release/589771-Electric-Light-Orchestra-Secret-Messages/image/SW1hZ2U6MjA3NTEyNzM=,
Record,On The Thrid Day,Electric Light Orchestra,1973,"Rock, Progressive Rock",UK,"Supertramp, Styx, Yes",J3,https://www.discogs.com/release/342678-Electric-Light-Orchestra-On-The-Third-Day/image/SW1hZ2U6MjEzNzM5,
Record,Playdoh Meathook,The Electric Love Muffin,1987,"Indie Rock, Punk",USA,"Descendents, Fugazi, Stiff Little Fingers ",J3,https://www.discogs.com/release/1666553-The-Electric-Love-Muffin-Playdoh-Meathook/image/SW1hZ2U6MjUwNTY0MA==,
Record,Mass in F Minor,The Electric Prunes,1967,"Psychadelic Rock, Religious",USA,"Neil Young, Tommy James and the Shondells ",J3,https://www.discogs.com/master/25229-The-Electric-Prunes-Mass-In-F-Minor/image/SW1hZ2U6NDM4NjQ1NTM=,
Record,Road to Peace,Electic Peace,1989,"Alternative Rock, Psychadelic Rock",USA,"The Cult, Tesla, Skid Row",J3,https://www.discogs.com/release/2811708-Electric-Peace-Road-To-Peace/image/SW1hZ2U6MTExODY0MjY=,
Record,The Electric Light Orchestra,Electric Light Orchestra,1971,"Rock, Progressive Rock",UK,"Supertramp, Styx, Yes",J3,https://www.discogs.com/master/97910-The-Electric-Light-Orchestra-The-Electric-Light-Orchestra/image/SW1hZ2U6OTQ0MTg3Mg==,
Record,Face The Music,Electric Light Orchestra,1975,"Rock, Progressive Rock",UK,"Supertramp, Styx, Yes",J3,https://www.discogs.com/master/21693-Electric-Light-Orchestra-Face-The-Music/image/SW1hZ2U6MTg5NDE3MzI=,
Record,Eleven Sons,Eleven Sons,1983,"Rock, Post-Punk",USA,"T.S.O.L, X, Sisters of Mercy",J3,https://www.discogs.com/release/2995447-Eleven-Sons-Eleven-Sons/image/SW1hZ2U6NTQ0NTUzNw==,
Record,Eleventh Dream Day,Eleventh Dream Day,1987,"Indie Rock, Alternative",USA,"Afghan Whigs, Nada Surf",J3,https://www.discogs.com/master/314871-Eleventh-Dream-Day-Eleventh-Dream-Day/image/SW1hZ2U6MzI5MTIxMA==,
Record,A Night For Stars,Roddy Ellias,1979,Contemporary Jazz,Canada,"Joe Beck, Alan Pasqua",J3,https://www.discogs.com/master/1325171-Roddy-Ellias-A-Night-For-Stars/image/SW1hZ2U6MzMwNjkzMzg=,
Record,The Best of Emerson Lake & Palmer,Emerson Lake & Palmer,1980,"Rock, Progressive Rock",UK,"Peter Frampton, Jackson Browne",J3,https://www.discogs.com/master/12216-Emerson-Lake-Palmer-The-Best-Of-Emerson-Lake-Palmer/image/SW1hZ2U6MzkwNjQwOQ==,
Record,Live Shots,The Joe Ely Band,1981,"Rock, Folk",USA,"Dire Straits, Tom Petty",J3,https://www.discogs.com/release/1394912-The-Joe-Ely-Band-Live-Shots/image/SW1hZ2U6MTk3OTM3MA==,
Record,The Dividing Line,The Brigade,1986,"Alternative Rock, Punk",USA,"Youth Brigade, Billy Idol ",J3,https://www.discogs.com/master/735060-The-Brigade-The-Dividing-Line/image/SW1hZ2U6MTQ1NTI1NTA=,
Record,Kings of Boogie,Savoy Brown,1989,"Hard Rock, Blues",UK,"Stevie Ray Vaughan, Deep Purple ",J3,https://www.discogs.com/master/424974-Savoy-Brown-Kings-Of-Boogie/image/SW1hZ2U6NDE3NDE2Ng==,
Record,Rural Space,Brewer & Shipley,1972,"Rock, Folk, Country ",USA,"Dire Straits, Paul Simon, Neil Young",J3,https://www.discogs.com/release/2585106-Brewer-Shipley-Rural-Space/image/SW1hZ2U6MTkwMTY4MDQ=,
Record,Harsh World,Jack Brewer Band,1991,Alternative Rock,USA,"Always August, Effigies",J3,https://www.discogs.com/release/2110543-Jack-Brewer-Band-Harsh-World/image/SW1hZ2U6ODU0MTY0NjE=,
Record,Welcome to Riddle Bridge,Brewer & Shipley,1975,"Rock, Folk, Country",USA,"Dire Straits, Paul Simon, Neil Young",J3,https://www.discogs.com/release/4797054-Brewer-Shipley-Welcome-To-Riddle-Bridge/image/SW1hZ2U6MjMwNTAxMjA=,
Record,Rockin' Ethereal,Jack Brewer Band,1990,"Alternative Rock, Punk",US,"Always August, Effigies",J3,https://lastfm.freetls.fastly.net/i/u/300x300/3fa3d1d3b42df463251bdcd580b4226c.jpg,
Record,Nobody Leaves This Song Alive,Breathless,1980,"Rock, Album Oriented Rock",USA,"The Rolling Stones, Tom Petty, Foreigner",J3,https://www.discogs.com/release/3089092-Breathless-Nobody-Leaves-This-Song-Alive/image/SW1hZ2U6NTY1NzM2Mg==,
